,Time,Temp,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip,Condition
52,2018-01-03 04:53:00,55 °F,28 °F,35 %,NNW,5 mph,0 mph,29.21 in,0.0 in,Mostly Cloudy
53,2018-01-03 05:53:00,57 °F,26 °F,30 %,CALM,0 mph,0 mph,29.22 in,0.0 in,Mostly Cloudy
54,2018-01-03 06:53:00,54 °F,29 °F,38 %,CALM,0 mph,0 mph,29.23 in,0.0 in,Partly Cloudy
55,2018-01-03 07:53:00,56 °F,29 °F,36 %,CALM,0 mph,0 mph,29.24 in,0.0 in,Mostly Cloudy
56,2018-01-03 08:53:00,62 °F,30 °F,30 %,CALM,0 mph,0 mph,29.26 in,0.0 in,Cloudy
57,2018-01-03 09:53:00,64 °F,32 °F,30 %,CALM,0 mph,0 mph,29.26 in,0.0 in,Mostly Cloudy
58,2018-01-03 10:53:00,67 °F,33 °F,28 %,CALM,0 mph,0 mph,29.27 in,0.0 in,Cloudy
59,2018-01-03 11:53:00,71 °F,28 °F,20 %,CALM,0 mph,0 mph,29.22 in,0.0 in,Cloudy
60,2018-01-03 12:53:00,72 °F,26 °F,18 %,NNW,3 mph,0 mph,29.20 in,0.0 in,Cloudy
61,2018-01-03 13:53:00,73 °F,26 °F,17 %,CALM,0 mph,0 mph,29.19 in,0.0 in,Fair
62,2018-01-03 14:53:00,74 °F,25 °F,16 %,SSE,3 mph,0 mph,29.18 in,0.0 in,Cloudy
63,2018-01-03 15:53:00,72 °F,32 °F,23 %,SSW,3 mph,0 mph,29.19 in,0.0 in,Mostly Cloudy
64,2018-01-03 16:53:00,71 °F,30 °F,22 %,ENE,6 mph,0 mph,29.20 in,0.0 in,Cloudy
65,2018-01-03 17:53:00,67 °F,36 °F,32 %,,0 mph,0 mph,29.21 in,0.0 in,Cloudy
66,2018-01-03 18:53:00,67 °F,32 °F,27 %,CALM,0 mph,0 mph,29.20 in,0.0 in,Mostly Cloudy
67,2018-01-03 19:53:00,65 °F,31 °F,28 %,CALM,0 mph,0 mph,29.22 in,0.0 in,Partly Cloudy
68,2018-01-03 20:53:00,63 °F,31 °F,30 %,CALM,0 mph,0 mph,29.24 in,0.0 in,Partly Cloudy
69,2018-01-03 21:53:00,58 °F,31 °F,36 %,CALM,0 mph,0 mph,29.26 in,0.0 in,Fair
70,2018-01-03 22:53:00,54 °F,33 °F,45 %,N,3 mph,0 mph,29.27 in,0.0 in,Fair
71,2018-01-03 23:53:00,57 °F,34 °F,42 %,VAR,3 mph,0 mph,29.26 in,0.0 in,Partly Cloudy
72,2018-01-04 00:53:00,55 °F,31 °F,40 %,CALM,0 mph,0 mph,29.26 in,0.0 in,Partly Cloudy
73,2018-01-04 01:53:00,54 °F,30 °F,40 %,CALM,0 mph,0 mph,29.26 in,0.0 in,Partly Cloudy
74,2018-01-04 02:53:00,54 °F,35 °F,49 %,N,3 mph,0 mph,29.27 in,0.0 in,Cloudy
75,2018-01-04 03:53:00,54 °F,32 °F,43 %,CALM,0 mph,0 mph,29.26 in,0.0 in,Cloudy
76,2018-01-04 04:53:00,53 °F,33 °F,47 %,CALM,0 mph,0 mph,29.26 in,0.0 in,Partly Cloudy
77,2018-01-04 05:53:00,53 °F,32 °F,45 %,S,3 mph,0 mph,29.28 in,0.0 in,Fair
78,2018-01-04 06:53:00,52 °F,34 °F,50 %,CALM,0 mph,0 mph,29.29 in,0.0 in,Fair
79,2018-01-04 07:53:00,56 °F,34 °F,44 %,NW,3 mph,0 mph,29.30 in,0.0 in,Partly Cloudy
80,2018-01-04 08:53:00,60 °F,33 °F,36 %,CALM,0 mph,0 mph,29.33 in,0.0 in,Cloudy
81,2018-01-04 09:53:00,65 °F,36 °F,34 %,CALM,0 mph,0 mph,29.33 in,0.0 in,Mostly Cloudy
82,2018-01-04 10:53:00,69 °F,35 °F,29 %,SSE,5 mph,0 mph,29.33 in,0.0 in,Fair
83,2018-01-04 11:53:00,71 °F,32 °F,24 %,SSE,3 mph,0 mph,29.30 in,0.0 in,Partly Cloudy
84,2018-01-04 12:53:00,75 °F,32 °F,21 %,CALM,0 mph,0 mph,29.27 in,0.0 in,Fair
85,2018-01-04 13:53:00,75 °F,42 °F,31 %,ESE,3 mph,0 mph,29.24 in,0.0 in,Fair
86,2018-01-04 14:53:00,74 °F,47 °F,38 %,SSW,10 mph,0 mph,29.24 in,0.0 in,Fair
87,2018-01-04 15:53:00,73 °F,49 °F,42 %,SSE,6 mph,0 mph,29.25 in,0.0 in,Fair
88,2018-01-04 16:53:00,69 °F,53 °F,57 %,S,5 mph,0 mph,29.26 in,0.0 in,Partly Cloudy
